
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       40.2364077   6  45
  1       40.2443398   6  46
  1       40.2617250   6  43
  1       40.2690952   6  44
  1       40.2777275   6  44
  1       40.2863502   6  43
  1       40.2949925   6  42
  1       40.3032860   6  45
  1       40.3104207   3  48
  1       40.3171252   4  47
  1       40.3320245   5  51
  1       40.3364155   6  44
  1       40.3421758   4  47
  1       40.3445038   6  45
  1       40.3652632   5  50
  1       40.3673735   4  51
  1       40.3782558   6  47
  1       40.4024920   6  47
  1       40.4148430   5  49
  1       40.4201090   6  45
  1       40.4377002   5  49
  1       40.4548408   5  49
  1       40.4708315   6  43
  1       40.4780327   6  44
  1       40.4856378   3  48
  1       40.4864283   6  44
  1       40.4940383   3  48
  1       40.4944450   6  42
  1       40.5028602   6  44
  1       40.5067067   5  49
  1       40.5114205   6  46
  1       40.5198752   6  45
  1       40.5208455   5  49
  1       40.5273900   6  44
  1       40.5358095   3  47
  1       40.5363160   6  43
  1       40.5403242   5  47
  1       40.5441478   6  44
  1       40.5525903   6  46
  1       40.5579910   3  46
  1       40.5611580   6  43
  1       40.5675283   3  45
  1       40.5692752   6  44
  1       40.5747808   2  48
  1       40.5747808   3  45
  1       40.5795497   6  43
  1       40.5841728   3  44
  1       40.5841730   2  47
  1       40.5914555   3  46
  1       40.5914558   2  48
  1       40.5947140   6  40
  1       42.0929875   2  40
  1       42.5426707   2  40
  1       43.1089435   2  40
  1       48.7211925   2  40
  1       50.4696553   2  41
  1       50.8360010   2  41
  1       55.7985200   2  40
  1       55.9983523   2  40
  1       60.5114690   2  40
  1       60.5947382   2  41
